County Name,State,county,Poverty Rate,No_HS_Education,Housing_Cost_Burden,norm_Poverty Rate,norm_No_HS_Education,norm_Housing_Cost_Burden,SEV,Resilience_Socio
"Butts County, Georgia",13,35,0.1911176972472944,0.1738340055672328,0.1772151898734177,0.49094648255314716,0.539039690538555,0.4612858754229853,0.49709068283822916,0.5029093171617709
"Calhoun County, Georgia",13,37,0.2611183355006502,0.2069290596276219,0.1745689655172413,0.7288340302186094,0.6627107458683752,0.4533629224991463,0.6149692328620436,0.38503076713795636
"Camden County, Georgia",13,39,0.1599661610044029,0.05909771,0.2682694919858734,0.38508226834395787,0.11028804893247347,0.73390786511414,0.40975939413019047,0.5902406058698095
"Candler County, Georgia",13,43,0.24941353101248,0.1805307300976213,0.2123205741626794,0.6890568609659987,0.5640643056491702,0.5663934814534086,0.6065048826895258,0.39349511731047415
"Carroll County, Georgia",13,45,0.1727977781271288,0.129522922350123,0.2430773836252058,0.4286887554571105,0.3734560835661052,0.6584811961214084,0.486875345048208,0.513124654951792
"Catoosa County, Georgia",13,47,0.087013084,0.093817176,0.1537544696066746,0.13716126338947726,0.2400292783280458,0.39104308523820214,0.2560778756519084,0.7439221243480916
"Charlton County, Georgia",13,49,0.2132475997533691,0.1762502753910553,0.2402287893231649,0.5661519145120979,0.548068914014923,0.6499523355576741,0.5880577213615649,0.41194227863843513
"Chatham County, Georgia",13,51,0.1413494968300646,0.075284275,0.2384877262139401,0.3218160939682907,0.17077471778824854,0.6447394891791633,0.37911010031190084,0.6208898996880992
"Chattahoochee County, Georgia",13,53,0.1776893751035969,0.041657626,0.1408219178082191,0.44531217544205615,0.04511717507968871,0.35232225688322244,0.2809172024683224,0.7190827975316776
"Chattooga County, Georgia",13,55,0.2150744960560911,0.2616201084737855,0.1489864864864865,0.5723603704938947,0.8670826654778117,0.37676746052983695,0.6054034988338478,0.3945965011661522
"Cherokee County, Georgia",13,57,0.070376325,0.063921635,0.2330325973613818,0.08062352461505148,0.12831430429054946,0.6284065093275432,0.27911477941104806,0.720885220588952
"Clarke County, Georgia",13,59,0.2618949748227315,0.084004162,0.3133856728670554,0.7314733322072827,0.20335957550381561,0.86898839084156,0.6012737661842195,0.39872623381578054
"Clay County, Georgia",13,61,0.2565186751233262,0.1742176553012611,0.069164265,0.7132027166397915,0.5404733297584129,0.13777498748514866,0.463817011294451,0.5361829887055489
"Clayton County, Georgia",13,63,0.1643546221810575,0.1192796933196837,0.2498588595854504,0.399995850468181,0.33517873427191935,0.6787853380063388,0.471319974248813,0.528680025751187
"Clinch County, Georgia",13,65,0.3018471241928217,0.2476543748636264,0.1539611360239162,0.8672452205037353,0.8148948971523108,0.3916618567686364,0.6912673248082276,0.3087326751917724
"Cobb County, Georgia",13,67,0.086059029,0.0602243420198532,0.2065852527438553,0.13391903860480406,0.11449809707469351,0.5492215884132857,0.26587957469759443,0.7341204253024056
"Coffee County, Georgia",13,69,0.2222779351668463,0.2018442262344701,0.1512509476876421,0.5968402682144398,0.6437095165378557,0.38354739188854436,0.5413657255469466,0.4586342744530534
"Colquitt County, Georgia",13,71,0.2383601563017418,0.2109821757014346,0.1712543554006968,0.6514934862743559,0.6778566084890565,0.4434387829026804,0.5909296258886977,0.4090703741113023
"Columbia County, Georgia",13,73,0.068665857,0.058961024,0.1621311646335105,0.07481073421723332,0.10977727466880355,0.41612340777399587,0.20023713888667757,0.7997628611133224
