StateFIPS,CountyFIPS,County Name,Uninsured Population Under 65,Total Population Under 65,uninsured_rate,Normalized_Uninsured,Resilience_Health
13,225,"Peach County, Georgia",364,27688,0.013146489453915054,0.22156937248584688,0.7784306275141532
13,227,"Pickens County, Georgia",375,32571,0.011513309385649812,0.19404394950882856,0.8059560504911715
13,229,"Pierce County, Georgia",344,19475,0.01766367137355584,0.29770142027303476,0.7022985797269652
13,231,"Pike County, Georgia",399,18542,0.02151871427030525,0.36267385557852366,0.6373261444214764
13,233,"Polk County, Georgia",1295,42515,0.030459837704339646,0.5133664884325007,0.48663351156749934
13,235,"Pulaski County, Georgia",18,8571,0.0021001050052502626,0.035394920430953054,0.964605079569047
13,237,"Putnam County, Georgia",291,21583,0.013482833711717556,0.2272380786755685,0.7727619213244314
13,239,"Quitman County, Georgia",48,2249,0.0213428190306803,0.3597093380924246,0.6402906619075754
13,241,"Rabun County, Georgia",245,16516,0.01483410026640833,0.25001216476398697,0.749987835236013
13,243,"Randolph County, Georgia",34,6412,0.005302557704304429,0.08936867802094817,0.9106313219790518
13,245,"Richmond County, Georgia",3080,194409,0.01584288793214306,0.2670141523175344,0.7329858476824656
13,247,"Rockdale County, Georgia",2878,92257,0.031195464842776157,0.5257646608889808,0.4742353391110192
13,249,"Schley County, Georgia",63,4622,0.013630463003028993,0.22972620522456627,0.7702737947754337
13,251,"Screven County, Georgia",178,13674,0.013017405294719906,0.21939380339183184,0.7806061966081681
13,253,"Seminole County, Georgia",108,9008,0.011989342806394316,0.20206696026667315,0.7979330397333269
13,255,"Spalding County, Georgia",1231,65697,0.018737537482685664,0.3158002321853552,0.6841997678146448
13,257,"Stephens County, Georgia",378,26641,0.014188656581960137,0.23913393353431445,0.7608660664656856
13,259,"Stewart County, Georgia",11,3358,0.003275759380583681,0.0552092596974172,0.9447907403025828
13,261,"Sumter County, Georgia",292,28904,0.010102407971215057,0.17026478457422273,0.8297352154257773
13,263,"Talbot County, Georgia",291,5821,0.049991410410582374,0.8425492960066646,0.15745070399333538
13,265,"Taliaferro County, Georgia",10,1573,0.006357279084551812,0.10714482694557415,0.8928551730544259
13,267,"Tattnall County, Georgia",265,19063,0.013901274720663064,0.23429043376240807,0.7657095662375919
13,269,"Taylor County, Georgia",0,7727,0.0,0.0,1.0
13,271,"Telfair County, Georgia",70,10054,0.00696240302367217,0.1173435139743104,0.8826564860256896
13,273,"Terrell County, Georgia",115,8750,0.013142857142857144,0.22150815394651013,0.7784918460534899
13,275,"Thomas County, Georgia",1197,45195,0.026485230667109193,0.4463789332981737,0.5536210667018263
13,277,"Tift County, Georgia",1315,40606,0.03238437669309954,0.545802440064979,0.454197559935021
13,279,"Toombs County, Georgia",798,26726,0.029858564693556838,0.5032327044927776,0.49676729550722243
13,281,"Towns County, Georgia",125,12147,0.010290606734173046,0.17343666418188453,0.8265633358181155
13,283,"Treutlen County, Georgia",237,6068,0.03905735003295979,0.6582679405098383,0.3417320594901617
13,285,"Troup County, Georgia",954,68138,0.014000997974698406,0.23597115764662932,0.7640288423533707
13,287,"Turner County, Georgia",114,8643,0.013189864630336688,0.22230041255969277,0.7776995874403072
13,289,"Twiggs County, Georgia",64,7978,0.008022060666833792,0.13520285808805263,0.8647971419119473
13,291,"Union County, Georgia",457,23644,0.019328370834038235,0.3257580673444526,0.6742419326555473
