County Name,State,county,Poverty Rate,No_HS_Education,Housing_Cost_Burden
"DeKalb County, Georgia",13,089,0.13503014406934208,0.07486551795787384,0.23999255561039948
"Dodge County, Georgia",13,091,0.20857646152152373,0.12941014332965822,0.20248328557784145
"Dooly County, Georgia",13,093,0.22559260747288068,0.17941210914627007,0.1378986866791745
"Dougherty County, Georgia",13,095,0.263028101241459,0.13807606263982103,0.3045044076542679
"Douglas County, Georgia",13,097,0.12168789471827259,0.0887794704193857,0.20750873108265425
"Early County, Georgia",13,099,0.25,0.1798520204894707,0.2057188244638602
"Echols County, Georgia",13,101,0.25440260092115957,0.1815686274509804,0.07611548556430446
"Effingham County, Georgia",13,103,0.07596886912325286,0.08217495001084102,0.1610586011342155
"Elbert County, Georgia",13,105,0.2347283597608526,0.1600290170475154,0.2099519860323003
"Emanuel County, Georgia",13,107,0.24932299077431497,0.17772165359564004,0.11571254567600488
"Evans County, Georgia",13,109,0.23654033041788144,0.21206969825754357,0.15912208504801098
"Fannin County, Georgia",13,111,0.11634703927613405,0.10935266489687563,0.12666397741024607
"Fayette County, Georgia",13,113,0.05413183500068521,0.03829734425415736,0.2560914967677772
"Floyd County, Georgia",13,115,0.1867771411531662,0.1481775081177493,0.21383694839192222
"Forsyth County, Georgia",13,117,0.05281832472490456,0.05116087682984613,0.20810012437810946
"Franklin County, Georgia",13,119,0.19043007439362591,0.15509376583882412,0.14101497504159735
"Fulton County, Georgia",13,121,0.1286438939203502,0.05461382356452191,0.2331253435688729
"Gilmer County, Georgia",13,123,0.1514363707266346,0.13729418938931962,0.1573492462311558
"Glascock County, Georgia",13,125,0.15604085945755547,0.17093142272262027,0.09152542372881356
"Glynn County, Georgia",13,127,0.16774209110754645,0.08772431423333726,0.1809926272253192
"Gordon County, Georgia",13,129,0.160639519477078,0.2111392929240644,0.15141065830721004
"Grady County, Georgia",13,131,0.1748995052566481,0.19371162156015465,0.24054373522458627
"Greene County, Georgia",13,133,0.14782608695652175,0.10861968549796155,0.2464129756706176
"Gwinnett County, Georgia",13,135,0.10514744773002929,0.09717146820702585,0.2497975161987041
"Habersham County, Georgia",13,137,0.1292504443777557,0.1765867236301259,0.18926974664679583
"Hall County, Georgia",13,139,0.13988002844067016,0.17245043293468676,0.23170551421672497
"Hancock County, Georgia",13,141,0.2909404930130319,0.29710677045087386,0.2857142857142857
"Haralson County, Georgia",13,143,0.1139188635432318,0.1505208078634652,0.17075306479859895
"Harris County, Georgia",13,145,0.06069578090303479,0.05418104702898249,0.12651894210150108
"Hart County, Georgia",13,147,0.14854419480155392,0.14070965685753745,0.2051666042680644
"Heard County, Georgia",13,149,0.2038267339888387,0.1573778854737916,0.12334113973458236
"Henry County, Georgia",13,151,0.08603687537755997,0.05946609828054534,0.21656329169214641
"Houston County, Georgia",13,153,0.103272086584445,0.06005656611519434,0.18601079902907813
"Irwin County, Georgia",13,155,0.2088323353293413,0.18448198534908058,0.13719512195121952
"Jackson County, Georgia",13,157,0.09745437606181838,0.10889368332734028,0.17956120092378752
"Jasper County, Georgia",13,159,0.16152019002375298,0.10384577163867634,0.23018867924528302
"Jeff Davis County, Georgia",13,161,0.21225129463068956,0.18135469774217042,0.09175449473031617
"Jefferson County, Georgia",13,163,0.18197368421052632,0.1748232229251954,0.1959493670886076
"Jenkins County, Georgia",13,165,0.2792566549472627,0.14132178376644208,0.35714285714285715
"Johnson County, Georgia",13,167,0.1954798248727961,0.2330212513003418,0.1396713615023474
"Jones County, Georgia",13,169,0.14188393908050076,0.07219196382694482,0.3248704663212435
"Lamar County, Georgia",13,171,0.12466519156865029,0.0924646265218822,0.20647321428571427
"Lanier County, Georgia",13,173,0.3409114610491188,0.12989938429193573,0.225
"Laurens County, Georgia",13,175,0.24975124378109453,0.11086192265729179,0.24429595827900913
"Lee County, Georgia",13,177,0.09895282928235181,0.07887706800393682,0.14515552377547372
"Liberty County, Georgia",13,179,0.16795728067628174,0.07281566364826242,0.20558611933982227
"Lincoln County, Georgia",13,181,0.18476541908276226,0.15010570824524314,0.1553030303030303
"Long County, Georgia",13,183,0.1841925253404639,0.17308792675948884,0.10923535253227408
"Lowndes County, Georgia",13,185,0.22915118706435977,0.10062775362110174,0.21531320138747195
"Lumpkin County, Georgia",13,187,0.12093874203520283,0.09084396045278693,0.2527514231499051
"McDuffie County, Georgia",13,189,0.16881305500023247,0.12864658058345288,0.19036046982584043
"McIntosh County, Georgia",13,191,0.1973142345568487,0.13555331315169863,0.19840364880273662
"Macon County, Georgia",13,193,0.27321289821289824,0.2515801354401806,0.17023959646910466
"Madison County, Georgia",13,195,0.22126727334007415,0.1504734158776402,0.262350936967632
"Marion County, Georgia",13,197,0.1352799357085454,0.19798350137488543,0.12727272727272726
"Meriwether County, Georgia",13,199,0.21921951219512195,0.18035481882320706,0.1359026369168357
"Miller County, Georgia",13,201,0.22716387273349298,0.10106640814348036,0.1413551401869159
"Mitchell County, Georgia",13,205,0.26543366698846604,0.16814687168610817,0.20527369826435246
"Monroe County, Georgia",13,207,0.14451995644501184,0.09718921153249974,0.20248868778280543
"Montgomery County, Georgia",13,209,0.17022629036359013,0.18129770992366412,0.13183730715287517
"Morgan County, Georgia",13,211,0.06526565807817421,0.09030076269966902,0.13740886146943354
"Murray County, Georgia",13,213,0.15143808966762454,0.2410650665666604,0.1339588219963513
"Muscogee County, Georgia",13,215,0.19538888299404283,0.09645712059574914,0.2301353591843805
"Newton County, Georgia",13,217,0.1357557290906437,0.09026449856933491,0.2955454291825537
"Oconee County, Georgia",13,219,0.04665209811672846,0.0295840216248686,0.12756662297946703
"Oglethorpe County, Georgia",13,221,0.10595482546201232,0.11993080914856813,0.25726872246696036
"Paulding County, Georgia",13,223,0.06310316973477234,0.07938290469264898,0.16919256785683706
"Peach County, Georgia",13,225,0.19156570723049618,0.12959143860431413,0.18896746817538898
"Pickens County, Georgia",13,227,0.1259438885137209,0.10002909030461704,0.17705835331734612
"Pierce County, Georgia",13,229,0.1792317173377157,0.12844663881503987,0.051970302684180465
"Pike County, Georgia",13,231,0.08527467764654892,0.09403311465167136,0.16736401673640167
"Polk County, Georgia",13,233,0.1806828624614152,0.15554065026299996,0.2722083481983589
"Pulaski County, Georgia",13,235,0.17499416296988093,0.18894133513149022,0.2564102564102564
"Putnam County, Georgia",13,237,0.1774802135100313,0.11471479050984351,0.17361784675072744
"Quitman County, Georgia",13,239,0.18852823477100933,0.2749572162007986,0.023148148148148147
"Rabun County, Georgia",13,241,0.16899781075164194,0.12088084939048369,0.2999340804218853
"Randolph County, Georgia",13,243,0.30688,0.18094793369133785,0.1132238547968885
"Richmond County, Georgia",13,245,0.22078433377645976,0.11545340329613481,0.28150485979220197
"Rockdale County, Georgia",13,247,0.11857372560949112,0.0894588828549263,0.19516100338018147
"Schley County, Georgia",13,249,0.17308524448290782,0.1058707124010554,0.22875816993464052
"Screven County, Georgia",13,251,0.1730134272507154,0.14251377065598397,0.07214765100671142
"Seminole County, Georgia",13,253,0.24822380106571937,0.13332346848179935,0.13449691991786447
"Spalding County, Georgia",13,255,0.17353529492602038,0.14188112544474277,0.22355717657155116
"Stephens County, Georgia",13,257,0.1346780206412118,0.13681194556173895,0.21180425849831902
"Stewart County, Georgia",13,259,0.26376554174067496,0.23348837209302326,0.08695652173913043
"Sumter County, Georgia",13,261,0.24153890656638705,0.14672493737675213,0.20571558176457247
"Talbot County, Georgia",13,263,0.167786391042205,0.14964748692290197,0.08151093439363817
"Taliaferro County, Georgia",13,265,0.21346886912325286,0.16602316602316602,0.12582781456953643
"Tattnall County, Georgia",13,267,0.20088114969054863,0.20910947459620027,0.1014799154334038
"Taylor County, Georgia",13,269,0.28749351323300465,0.2170114122681883,0.26827309236947794
"Telfair County, Georgia",13,271,0.26166166166166166,0.2875261938899305,0.14426229508196722
"Terrell County, Georgia",13,273,0.3005464480874317,0.18802862719583605,0.1831610044313146
"Thomas County, Georgia",13,275,0.17226461975330554,0.11822077257610641,0.18523613021549748
"Tift County, Georgia",13,277,0.22101338236796403,0.1458151286045363,0.17325640590531138
"Toombs County, Georgia",13,279,0.20100748092176987,0.15587021325384087,0.17015418502202642
"Towns County, Georgia",13,281,0.14239453877122352,0.06130144365438483,0.20246478873239437
"Treutlen County, Georgia",13,283,0.3205892088712347,0.23920265780730898,0.24246231155778894
"Troup County, Georgia",13,285,0.19115284267625773,0.1100198175047366,0.26840241217574423
"Turner County, Georgia",13,287,0.2718253968253968,0.1829938570966699,0.2064516129032258
"Twiggs County, Georgia",13,289,0.15743987975951904,0.16382978723404254,0.055232558139534885
"Union County, Georgia",13,291,0.14939269541664904,0.10706424903049995,0.12022414671421294
"Upson County, Georgia",13,293,0.22413209463271525,0.16242734495814004,0.27207505518763797
"Walker County, Georgia",13,295,0.13797686289908478,0.14327534292405486,0.17433008526187577
"Walton County, Georgia",13,297,0.11464029844419009,0.10139958230728469,0.23546151942588467
"Ware County, Georgia",13,299,0.23827822460530235,0.16700635904125224,0.2062207072858969
"Warren County, Georgia",13,301,0.27406832298136646,0.2333945917563665,0.15085536547433903
"Washington County, Georgia",13,303,0.1818231922398589,0.14749450705223616,0.17888198757763976
"Wayne County, Georgia",13,305,0.18839757455409384,0.1405943507257748,0.2233032747982914
"Webster County, Georgia",13,307,0.29434121621621623,0.17100591715976332,0.03333333333333333
"Wheeler County, Georgia",13,309,0.23031123139377538,0.2124197983501375,0.07488986784140969
"White County, Georgia",13,311,0.11958399176803498,0.12341547510394484,0.19002169197396962
"Whitfield County, Georgia",13,313,0.15089662499139278,0.2521675216752168,0.1737002025658339
"Wilcox County, Georgia",13,315,0.25987797791981404,0.1646379525593009,0.13132911392405064
"Wilkes County, Georgia",13,317,0.21428571428571427,0.15456371986222733,0.20204230488694383
"Wilkinson County, Georgia",13,319,0.26040009092975674,0.11652201864352299,0.19040902679830748
"Worth County, Georgia",13,321,0.1850587604232701,0.1349747646978584,0.1886625332152347
